kind,item_id,ref_id,stratum,memory_type,query,target,answer,contexts,verifier_hint,verdict,used
context,JCAL-010,epi:epi_8fff986cbc4fdff3e0880875,high_risk,episodic,第 14 周有哪门课被推迟了？为什么？,第 14 周 missionB-2 因带飞教员当日已达日上限推迟到下周,第 14 周的课程中，missionB-2 被推迟到了下周。原因是带飞教员当日已达日上限。,"[1] epi:epi_8fff986cbc4fdff3e0880875 :: 第 14 周 missionB-2 因带飞教员当日已达日上限推迟到下周
[2] epi:epi_242c9e77015201d92bb935c0 :: 第 14 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点
[3] epi:epi_1720281e44f1a3be422b1b49 :: 第 15 周 missionG-1 因刘斌复训占用了同一时段推迟到下周
[4] epi:epi_8eae0f0af01e9ca680638de0 :: 第 4 周 missionC-2 因先修 missionC-1 当周未完成推迟到下周
[5] epi:epi_dc671c59affd457aad973cfe :: 第 7 周 missionG-1 因刘斌复训占用了同一时段推迟到下周",,,
claim,JCAL-011,c1,high_risk,semantic,一个人同一时刻能出现在几个架次里？,根据规则，一个人同一时刻只能在一个架次上。,"根据规则，一个人同一时刻只能在一个架次上。这是为了确保执行人能够专注于当前的课目并满足资质匹配与岗位互斥的要求。具体来说：

- 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）明确规定：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。

因此，一个人在同一时间只能参与一个架次的飞行任务。","[1] rule:1.3.0:04 :: 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。
[2] rule:1.3.0:09 :: 约束9·起降密度限制（R0，Cumulative）：**同一跑道**任意 20 分钟滑动窗口内起飞次数不得超过 2 次； 任意两架次起飞时刻间隔不少于 7 分钟。
[3] rule:1.3.0:03 :: 约束3·角色配置（R2，结构+线性）：带飞架次由 1 教员 + 1 学员组成，单飞架次 1 人；每名学员每周至少飞 1 次 A 类课目。
[4] ent:airspace:SAA :: 空域 SAA（Small Area A）的同时段容量为 2 架次
[5] epi:epi_6d1369d75f9799063d80a6c2 :: 第 2 周排班会话：共 14 架次（9 带飞 / 5 单飞），阻塞项 7 条",有出处,,
claim,JCAL-011,c2,high_risk,semantic,一个人同一时刻能出现在几个架次里？,这是为了确保执行人能够专注于当前的课目并满足资质匹配与岗位互斥的要求。,"根据规则，一个人同一时刻只能在一个架次上。这是为了确保执行人能够专注于当前的课目并满足资质匹配与岗位互斥的要求。具体来说：

- 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）明确规定：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。

因此，一个人在同一时间只能参与一个架次的飞行任务。","[1] rule:1.3.0:04 :: 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。
[2] rule:1.3.0:09 :: 约束9·起降密度限制（R0，Cumulative）：**同一跑道**任意 20 分钟滑动窗口内起飞次数不得超过 2 次； 任意两架次起飞时刻间隔不少于 7 分钟。
[3] rule:1.3.0:03 :: 约束3·角色配置（R2，结构+线性）：带飞架次由 1 教员 + 1 学员组成，单飞架次 1 人；每名学员每周至少飞 1 次 A 类课目。
[4] ent:airspace:SAA :: 空域 SAA（Small Area A）的同时段容量为 2 架次
[5] epi:epi_6d1369d75f9799063d80a6c2 :: 第 2 周排班会话：共 14 架次（9 带飞 / 5 单飞），阻塞项 7 条",有出处,,
claim,JCAL-011,c4,high_risk,semantic,一个人同一时刻能出现在几个架次里？,- 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）明确规定：执行人须持该课目所属类别资质；,"根据规则，一个人同一时刻只能在一个架次上。这是为了确保执行人能够专注于当前的课目并满足资质匹配与岗位互斥的要求。具体来说：

- 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）明确规定：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。

因此，一个人在同一时间只能参与一个架次的飞行任务。","[1] rule:1.3.0:04 :: 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。
[2] rule:1.3.0:09 :: 约束9·起降密度限制（R0，Cumulative）：**同一跑道**任意 20 分钟滑动窗口内起飞次数不得超过 2 次； 任意两架次起飞时刻间隔不少于 7 分钟。
[3] rule:1.3.0:03 :: 约束3·角色配置（R2，结构+线性）：带飞架次由 1 教员 + 1 学员组成，单飞架次 1 人；每名学员每周至少飞 1 次 A 类课目。
[4] ent:airspace:SAA :: 空域 SAA（Small Area A）的同时段容量为 2 架次
[5] epi:epi_6d1369d75f9799063d80a6c2 :: 第 2 周排班会话：共 14 架次（9 带飞 / 5 单飞），阻塞项 7 条",有出处,,
claim,JCAL-011,c5,high_risk,semantic,一个人同一时刻能出现在几个架次里？,同一人同一时刻只能在一个架次上。,"根据规则，一个人同一时刻只能在一个架次上。这是为了确保执行人能够专注于当前的课目并满足资质匹配与岗位互斥的要求。具体来说：

- 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）明确规定：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。

因此，一个人在同一时间只能参与一个架次的飞行任务。","[1] rule:1.3.0:04 :: 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。
[2] rule:1.3.0:09 :: 约束9·起降密度限制（R0，Cumulative）：**同一跑道**任意 20 分钟滑动窗口内起飞次数不得超过 2 次； 任意两架次起飞时刻间隔不少于 7 分钟。
[3] rule:1.3.0:03 :: 约束3·角色配置（R2，结构+线性）：带飞架次由 1 教员 + 1 学员组成，单飞架次 1 人；每名学员每周至少飞 1 次 A 类课目。
[4] ent:airspace:SAA :: 空域 SAA（Small Area A）的同时段容量为 2 架次
[5] epi:epi_6d1369d75f9799063d80a6c2 :: 第 2 周排班会话：共 14 架次（9 带飞 / 5 单飞），阻塞项 7 条",有出处,,
claim,JCAL-011,c6,high_risk,semantic,一个人同一时刻能出现在几个架次里？,因此，一个人在同一时间只能参与一个架次的飞行任务。,"根据规则，一个人同一时刻只能在一个架次上。这是为了确保执行人能够专注于当前的课目并满足资质匹配与岗位互斥的要求。具体来说：

- 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）明确规定：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。

因此，一个人在同一时间只能参与一个架次的飞行任务。","[1] rule:1.3.0:04 :: 约束4·资质匹配与岗位互斥（R0，预筛 + NoOverlap）：执行人须持该课目所属类别资质；同一人同一时刻只能在一个架次上。
[2] rule:1.3.0:09 :: 约束9·起降密度限制（R0，Cumulative）：**同一跑道**任意 20 分钟滑动窗口内起飞次数不得超过 2 次； 任意两架次起飞时刻间隔不少于 7 分钟。
[3] rule:1.3.0:03 :: 约束3·角色配置（R2，结构+线性）：带飞架次由 1 教员 + 1 学员组成，单飞架次 1 人；每名学员每周至少飞 1 次 A 类课目。
[4] ent:airspace:SAA :: 空域 SAA（Small Area A）的同时段容量为 2 架次
[5] epi:epi_6d1369d75f9799063d80a6c2 :: 第 2 周排班会话：共 14 架次（9 带飞 / 5 单飞），阻塞项 7 条",有出处,,
claim,JCAL-012,c2,high_risk,procedural,我常用的表述里跟时间有关的有哪些？,1. **约束1·时间一致性**（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；,"与时间有关的表述包括：

1. **约束1·时间一致性**（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
2. **约束7·飞机排期冲突与周转时间**（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
3. **约束8·人员冲突与休息**（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。

此外，在用户提出的修订中也提到：
- 第 2 周和第 10 周的修订都包括“间隔拉开一点”。","[1] rule:1.3.0:01 :: 约束1·时间一致性（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
[2] rule:1.3.0:07 :: 约束7·飞机排期冲突与周转时间（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
[3] epi:epi_6ab6410bfa90ad13e6ccb11c :: 第 2 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停
[4] rule:1.3.0:08 :: 约束8·人员冲突与休息（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。
[5] epi:epi_b2a6022ab5ebf2284f260575 :: 第 10 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停",有出处,,
claim,JCAL-012,c3,high_risk,procedural,我常用的表述里跟时间有关的有哪些？,架次必须落在训练窗内且不跨日。,"与时间有关的表述包括：

1. **约束1·时间一致性**（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
2. **约束7·飞机排期冲突与周转时间**（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
3. **约束8·人员冲突与休息**（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。

此外，在用户提出的修订中也提到：
- 第 2 周和第 10 周的修订都包括“间隔拉开一点”。","[1] rule:1.3.0:01 :: 约束1·时间一致性（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
[2] rule:1.3.0:07 :: 约束7·飞机排期冲突与周转时间（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
[3] epi:epi_6ab6410bfa90ad13e6ccb11c :: 第 2 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停
[4] rule:1.3.0:08 :: 约束8·人员冲突与休息（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。
[5] epi:epi_b2a6022ab5ebf2284f260575 :: 第 10 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停",有出处,,
claim,JCAL-012,c4,high_risk,procedural,我常用的表述里跟时间有关的有哪些？,2. **约束7·飞机排期冲突与周转时间**（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；,"与时间有关的表述包括：

1. **约束1·时间一致性**（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
2. **约束7·飞机排期冲突与周转时间**（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
3. **约束8·人员冲突与休息**（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。

此外，在用户提出的修订中也提到：
- 第 2 周和第 10 周的修订都包括“间隔拉开一点”。","[1] rule:1.3.0:01 :: 约束1·时间一致性（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
[2] rule:1.3.0:07 :: 约束7·飞机排期冲突与周转时间（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
[3] epi:epi_6ab6410bfa90ad13e6ccb11c :: 第 2 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停
[4] rule:1.3.0:08 :: 约束8·人员冲突与休息（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。
[5] epi:epi_b2a6022ab5ebf2284f260575 :: 第 10 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停",有出处,,
claim,JCAL-012,c5,high_risk,procedural,我常用的表述里跟时间有关的有哪些？,维护时段内不得排班。,"与时间有关的表述包括：

1. **约束1·时间一致性**（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
2. **约束7·飞机排期冲突与周转时间**（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
3. **约束8·人员冲突与休息**（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。

此外，在用户提出的修订中也提到：
- 第 2 周和第 10 周的修订都包括“间隔拉开一点”。","[1] rule:1.3.0:01 :: 约束1·时间一致性（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
[2] rule:1.3.0:07 :: 约束7·飞机排期冲突与周转时间（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
[3] epi:epi_6ab6410bfa90ad13e6ccb11c :: 第 2 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停
[4] rule:1.3.0:08 :: 约束8·人员冲突与休息（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。
[5] epi:epi_b2a6022ab5ebf2284f260575 :: 第 10 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停",有出处,,
claim,JCAL-012,c6,high_risk,procedural,我常用的表述里跟时间有关的有哪些？,3. **约束8·人员冲突与休息**（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；,"与时间有关的表述包括：

1. **约束1·时间一致性**（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
2. **约束7·飞机排期冲突与周转时间**（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
3. **约束8·人员冲突与休息**（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。

此外，在用户提出的修订中也提到：
- 第 2 周和第 10 周的修订都包括“间隔拉开一点”。","[1] rule:1.3.0:01 :: 约束1·时间一致性（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
[2] rule:1.3.0:07 :: 约束7·飞机排期冲突与周转时间（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
[3] epi:epi_6ab6410bfa90ad13e6ccb11c :: 第 2 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停
[4] rule:1.3.0:08 :: 约束8·人员冲突与休息（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。
[5] epi:epi_b2a6022ab5ebf2284f260575 :: 第 10 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停",有出处,,
claim,JCAL-012,c7,high_risk,procedural,我常用的表述里跟时间有关的有哪些？,连续 2 架次后需休息 30 分钟。,"与时间有关的表述包括：

1. **约束1·时间一致性**（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
2. **约束7·飞机排期冲突与周转时间**（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
3. **约束8·人员冲突与休息**（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。

此外，在用户提出的修订中也提到：
- 第 2 周和第 10 周的修订都包括“间隔拉开一点”。","[1] rule:1.3.0:01 :: 约束1·时间一致性（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
[2] rule:1.3.0:07 :: 约束7·飞机排期冲突与周转时间（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
[3] epi:epi_6ab6410bfa90ad13e6ccb11c :: 第 2 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停
[4] rule:1.3.0:08 :: 约束8·人员冲突与休息（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。
[5] epi:epi_b2a6022ab5ebf2284f260575 :: 第 10 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停",有出处,,
claim,JCAL-012,c9,high_risk,procedural,我常用的表述里跟时间有关的有哪些？,- 第 2 周和第 10 周的修订都包括“间隔拉开一点”。,"与时间有关的表述包括：

1. **约束1·时间一致性**（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
2. **约束7·飞机排期冲突与周转时间**（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
3. **约束8·人员冲突与休息**（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。

此外，在用户提出的修订中也提到：
- 第 2 周和第 10 周的修订都包括“间隔拉开一点”。","[1] rule:1.3.0:01 :: 约束1·时间一致性（R0，结构性）：着陆时刻 = 起飞时刻 + 课目时长；架次必须落在训练窗内且不跨日。
[2] rule:1.3.0:07 :: 约束7·飞机排期冲突与周转时间（R0，析取）：同一架飞机的相邻架次之间须满足周转时间；维护时段内不得排班。
[3] epi:epi_6ab6410bfa90ad13e6ccb11c :: 第 2 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停
[4] rule:1.3.0:08 :: 约束8·人员冲突与休息（R0，析取 + 序）：同一人相邻架次间隔不少于 10 分钟；连续 2 架次后需休息 30 分钟。
[5] epi:epi_b2a6022ab5ebf2284f260575 :: 第 10 周用户提出 3 条修订：何超少排一次、间隔拉开一点、IFR 那门课先停",有出处,,
claim,JCAL-013,c2,high_risk,episodic,第 5 周选的松弛档欠了多少项账？,- 第 5 周选用 Tier 0 松弛，欠账 0 项,"检索到以下相关内容：
- 第 5 周选用 Tier 0 松弛，欠账 0 项
- 第 17 周选用 Tier 1 松弛，欠账 3 项
- 第 14 周选用 Tier 1 松弛，欠账 3 项
- 第 15 周选用 Tier 1 松弛，欠账 1 项
- 第 13 周选用 Tier 1 松弛，欠账 2 项","[1] epi:epi_3528747a8a01be7ccdcc4eb3 :: 第 5 周选用 Tier 0 松弛，欠账 0 项
[2] epi:epi_fdb825b8b0beedfa780c09a6 :: 第 17 周选用 Tier 1 松弛，欠账 3 项
[3] epi:epi_ca29e58602ce08bb0e48c5c6 :: 第 14 周选用 Tier 1 松弛，欠账 3 项
[4] epi:epi_b6088c1f2f82e6583cee8277 :: 第 15 周选用 Tier 1 松弛，欠账 1 项
[5] epi:epi_48935c7ffa939ae172da378c :: 第 13 周选用 Tier 1 松弛，欠账 2 项",有出处,,
claim,JCAL-013,c3,high_risk,episodic,第 5 周选的松弛档欠了多少项账？,- 第 17 周选用 Tier 1 松弛，欠账 3 项,"检索到以下相关内容：
- 第 5 周选用 Tier 0 松弛，欠账 0 项
- 第 17 周选用 Tier 1 松弛，欠账 3 项
- 第 14 周选用 Tier 1 松弛，欠账 3 项
- 第 15 周选用 Tier 1 松弛，欠账 1 项
- 第 13 周选用 Tier 1 松弛，欠账 2 项","[1] epi:epi_3528747a8a01be7ccdcc4eb3 :: 第 5 周选用 Tier 0 松弛，欠账 0 项
[2] epi:epi_fdb825b8b0beedfa780c09a6 :: 第 17 周选用 Tier 1 松弛，欠账 3 项
[3] epi:epi_ca29e58602ce08bb0e48c5c6 :: 第 14 周选用 Tier 1 松弛，欠账 3 项
[4] epi:epi_b6088c1f2f82e6583cee8277 :: 第 15 周选用 Tier 1 松弛，欠账 1 项
[5] epi:epi_48935c7ffa939ae172da378c :: 第 13 周选用 Tier 1 松弛，欠账 2 项",有出处,,
claim,JCAL-013,c4,high_risk,episodic,第 5 周选的松弛档欠了多少项账？,- 第 14 周选用 Tier 1 松弛，欠账 3 项,"检索到以下相关内容：
- 第 5 周选用 Tier 0 松弛，欠账 0 项
- 第 17 周选用 Tier 1 松弛，欠账 3 项
- 第 14 周选用 Tier 1 松弛，欠账 3 项
- 第 15 周选用 Tier 1 松弛，欠账 1 项
- 第 13 周选用 Tier 1 松弛，欠账 2 项","[1] epi:epi_3528747a8a01be7ccdcc4eb3 :: 第 5 周选用 Tier 0 松弛，欠账 0 项
[2] epi:epi_fdb825b8b0beedfa780c09a6 :: 第 17 周选用 Tier 1 松弛，欠账 3 项
[3] epi:epi_ca29e58602ce08bb0e48c5c6 :: 第 14 周选用 Tier 1 松弛，欠账 3 项
[4] epi:epi_b6088c1f2f82e6583cee8277 :: 第 15 周选用 Tier 1 松弛，欠账 1 项
[5] epi:epi_48935c7ffa939ae172da378c :: 第 13 周选用 Tier 1 松弛，欠账 2 项",有出处,,
claim,JCAL-013,c5,high_risk,episodic,第 5 周选的松弛档欠了多少项账？,- 第 15 周选用 Tier 1 松弛，欠账 1 项,"检索到以下相关内容：
- 第 5 周选用 Tier 0 松弛，欠账 0 项
- 第 17 周选用 Tier 1 松弛，欠账 3 项
- 第 14 周选用 Tier 1 松弛，欠账 3 项
- 第 15 周选用 Tier 1 松弛，欠账 1 项
- 第 13 周选用 Tier 1 松弛，欠账 2 项","[1] epi:epi_3528747a8a01be7ccdcc4eb3 :: 第 5 周选用 Tier 0 松弛，欠账 0 项
[2] epi:epi_fdb825b8b0beedfa780c09a6 :: 第 17 周选用 Tier 1 松弛，欠账 3 项
[3] epi:epi_ca29e58602ce08bb0e48c5c6 :: 第 14 周选用 Tier 1 松弛，欠账 3 项
[4] epi:epi_b6088c1f2f82e6583cee8277 :: 第 15 周选用 Tier 1 松弛，欠账 1 项
[5] epi:epi_48935c7ffa939ae172da378c :: 第 13 周选用 Tier 1 松弛，欠账 2 项",有出处,,
claim,JCAL-013,c6,high_risk,episodic,第 5 周选的松弛档欠了多少项账？,- 第 13 周选用 Tier 1 松弛，欠账 2 项,"检索到以下相关内容：
- 第 5 周选用 Tier 0 松弛，欠账 0 项
- 第 17 周选用 Tier 1 松弛，欠账 3 项
- 第 14 周选用 Tier 1 松弛，欠账 3 项
- 第 15 周选用 Tier 1 松弛，欠账 1 项
- 第 13 周选用 Tier 1 松弛，欠账 2 项","[1] epi:epi_3528747a8a01be7ccdcc4eb3 :: 第 5 周选用 Tier 0 松弛，欠账 0 项
[2] epi:epi_fdb825b8b0beedfa780c09a6 :: 第 17 周选用 Tier 1 松弛，欠账 3 项
[3] epi:epi_ca29e58602ce08bb0e48c5c6 :: 第 14 周选用 Tier 1 松弛，欠账 3 项
[4] epi:epi_b6088c1f2f82e6583cee8277 :: 第 15 周选用 Tier 1 松弛，欠账 1 项
[5] epi:epi_48935c7ffa939ae172da378c :: 第 13 周选用 Tier 1 松弛，欠账 2 项",有出处,,
context,JCAL-013,epi:epi_3528747a8a01be7ccdcc4eb3,high_risk,episodic,第 5 周选的松弛档欠了多少项账？,第 5 周选用 Tier 0 松弛，欠账 0 项,"检索到以下相关内容：
- 第 5 周选用 Tier 0 松弛，欠账 0 项
- 第 17 周选用 Tier 1 松弛，欠账 3 项
- 第 14 周选用 Tier 1 松弛，欠账 3 项
- 第 15 周选用 Tier 1 松弛，欠账 1 项
- 第 13 周选用 Tier 1 松弛，欠账 2 项","[1] epi:epi_3528747a8a01be7ccdcc4eb3 :: 第 5 周选用 Tier 0 松弛，欠账 0 项
[2] epi:epi_fdb825b8b0beedfa780c09a6 :: 第 17 周选用 Tier 1 松弛，欠账 3 项
[3] epi:epi_ca29e58602ce08bb0e48c5c6 :: 第 14 周选用 Tier 1 松弛，欠账 3 项
[4] epi:epi_b6088c1f2f82e6583cee8277 :: 第 15 周选用 Tier 1 松弛，欠账 1 项
[5] epi:epi_48935c7ffa939ae172da378c :: 第 13 周选用 Tier 1 松弛，欠账 2 项",,,
claim,JCAL-014,c2,high_risk,episodic,第 5 周用户提了哪几条修订？,- 第 5 周用户提出 3 条修订：早一点起飞、换一架飞机、这天别安排了,"检索到以下相关内容：
- 第 5 周用户提出 3 条修订：早一点起飞、换一架飞机、这天别安排了
- 第 15 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
- 第 6 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点
- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 3 周用户提出 3 条修订：跑道换成 RWY-1、把周五腾出来、这一版别动了","[1] epi:epi_ffbe017f229dcf6416a6b17d :: 第 5 周用户提出 3 条修订：早一点起飞、换一架飞机、这天别安排了
[2] epi:epi_027681d041c23da295f83ff7 :: 第 15 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
[3] epi:epi_bf02a963bebf16197b458a46 :: 第 6 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点
[4] epi:epi_340bf83921cdb27f5fc11840 :: 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[5] epi:epi_395c20e689ee850deb144a34 :: 第 3 周用户提出 3 条修订：跑道换成 RWY-1、把周五腾出来、这一版别动了",有出处,,
claim,JCAL-014,c3,high_risk,episodic,第 5 周用户提了哪几条修订？,- 第 15 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开,"检索到以下相关内容：
- 第 5 周用户提出 3 条修订：早一点起飞、换一架飞机、这天别安排了
- 第 15 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
- 第 6 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点
- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 3 周用户提出 3 条修订：跑道换成 RWY-1、把周五腾出来、这一版别动了","[1] epi:epi_ffbe017f229dcf6416a6b17d :: 第 5 周用户提出 3 条修订：早一点起飞、换一架飞机、这天别安排了
[2] epi:epi_027681d041c23da295f83ff7 :: 第 15 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
[3] epi:epi_bf02a963bebf16197b458a46 :: 第 6 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点
[4] epi:epi_340bf83921cdb27f5fc11840 :: 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[5] epi:epi_395c20e689ee850deb144a34 :: 第 3 周用户提出 3 条修订：跑道换成 RWY-1、把周五腾出来、这一版别动了",有出处,,
claim,JCAL-014,c4,high_risk,episodic,第 5 周用户提了哪几条修订？,- 第 6 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点,"检索到以下相关内容：
- 第 5 周用户提出 3 条修订：早一点起飞、换一架飞机、这天别安排了
- 第 15 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
- 第 6 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点
- 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
- 第 3 周用户提出 3 条修订：跑道换成 RWY-1、把周五腾出来、这一版别动了","[1] epi:epi_ffbe017f229dcf6416a6b17d :: 第 5 周用户提出 3 条修订：早一点起飞、换一架飞机、这天别安排了
[2] epi:epi_027681d041c23da295f83ff7 :: 第 15 周用户提出 3 条修订：周末不排、带飞教员固定一个、先把阻塞项解开
[3] epi:epi_bf02a963bebf16197b458a46 :: 第 6 周用户提出 3 条修订：把两个架次合并看看、优先补落下的课、密度降一点
[4] epi:epi_340bf83921cdb27f5fc11840 :: 第 1 周用户提出 3 条修订：这个架次取消、改到上午、把 AC73 换掉
[5] epi:epi_395c20e689ee850deb144a34 :: 第 3 周用户提出 3 条修订：跑道换成 RWY-1、把周五腾出来、这一版别动了",有出处,,
